"title","artist","playlist"
"Planet Rock","Afrika Bambaataa","current A-Z best of library"
"Pleasant Valley Sunday","The Monkees","current A-Z best of library"
"Please Please Please Let Me Get What I Want","The Smiths","current A-Z best of library"
"Police On My Back","The Clash","current A-Z best of library"
"Polyester Bride","Liz Phair","current A-Z best of library"
"Pop Life","Prince","current A-Z best of library"
"Popular","Nada Surf","current A-Z best of library"
"Portions for Foxes","Rilo Kiley","current A-Z best of library"
"Portland Oregon","Loretta Lynn","current A-Z best of library"
"Positively 4th Street","Bob Dylan","current A-Z best of library"
"Praise You","Fatboy Slim","current A-Z best of library"
"Pressure Drop","Toots and the Maytals","current A-Z best of library"
"Pretend We're Dead","L7","current A-Z best of library"
"Pretty In Pink","The Psychedelic Furs","current A-Z best of library"
"Pretty Pimpin","Kurt Vile","current A-Z best of library"
"Pretty Voice","Cloud Cult","current A-Z best of library"
"Protection","Massive Attack","current A-Z best of library"
"Proud Mary","Ike and Tina Turner","current A-Z best of library"
"Psychedelic Shack","The Temptations","current A-Z best of library"
"Psycho","The Sonics","current A-Z best of library"
"Psycho Killer","Talking Heads","current A-Z best of library"
"Pulling Mussels From The Shell","Squeeze","current A-Z best of library"
"Pump It Up","Elvis Costello","current A-Z best of library"
"Pumped Up Kicks","Foster the People","current A-Z best of library"
"Pumping On Your Stereo","Supergrass","current A-Z best of library"
"Punk Rock Girl","The Dead Milkmen","current A-Z best of library"
"Purple Haze","Jimi Hendrix","current A-Z best of library"
"Purple Rain","Prince","current A-Z best of library"
"Pusherman","Curtis Mayfield","current A-Z best of library"
"Quiet Corners and Empty Spaces","The Jayhawks","current A-Z best of library"
"Race For The Prize (remix)","The Flaming Lips","current A-Z best of library"
"Radio Free Europe","R.E.M.","current A-Z best of library"
"Radio Radio","Elvis Costello and The Attractions","current A-Z best of library"
"Random Name Generator","Wilco","current A-Z best of library"
"Rapper's Delight","Sugarhill Gang","current A-Z best of library"
"Raspberry Beret","Prince","current A-Z best of library"
"Rattle My Bones","The Suburbs","current A-Z best of library"
"Rave On","Buddy Holly","current A-Z best of library"
"Ready For The Floor","Hot Chip","current A-Z best of library"
"Ready To Start","Arcade Fire","current A-Z best of library"
"Real Wild Child","Iggy Pop","current A-Z best of library"
"Rearview Mirror","Pearl Jam","current A-Z best of library"
"Rebel Rebel","David Bowie","current A-Z best of library"
"Rebel Yell","Billy Idol","current A-Z best of library"
"Recover","CHVRCHES","current A-Z best of library"
"Redemption Song","Bob Marley and The Wailers","current A-Z best of library"
"Reflektor","Arcade Fire","current A-Z best of library"
"Rehab","Amy Winehouse","current A-Z best of library"
"Renegades of Funk","Afrika Bambaataa","current A-Z best of library"
